Price(Rs),Product Info,Variation,Custom Id,Product Number,Status,Categories
70999,HMW-28100-28L Digital Grill Microwave Oven,HMW-28100,HMW-28100,20240523182527248XYVLrSOX,active,Home Appliances/Microwave Ovens/Grill Series
67449,HMW-23200-23L Digital Microwave Oven,HMW-23200,HMW-23200,20240523182017437RgVpyDVP,active,Home Appliances/Microwave Ovens/Grill Series
60899,HMW-20DGS-20L Digital Grill Microwave Oven,HMW-20DGS,HMW-20DGS,20240523181505270ntXznkQm,active,Home Appliances/Microwave Ovens/Grill Series
57899,HMW-20DSS-20L Digital Solo Microwave Oven,HMW-20DSS,HMW-20DSS,20240523180947477lkgEBKxh,active,Home Appliances/Microwave Ovens/Solo Series
54999,HMW-20MX11 20L Solo Microwave Oven,HMW-20MX11,HMW-20MX11,20240523180418007ejHHLAXJ,active,Home Appliances/Microwave Ovens/Solo Series
54999,HMW-20MX12 20L Solo Microwave Oven,HMW-20MX12,HMW-20MX12,20240523180040520PmpWAbYO,active,Home Appliances/Microwave Ovens/Solo Series
53999,HMW-20MBS -  Solo Microwave Oven,Black,HMW-20MBS,20240522174114190mkBnlAhj,active,Home Appliances/Microwave Ovens/Solo Series
37010,Remote,Remote,Remote,20240415150031310boOXRvCr,inactive,Home Appliances/Deep Freezers/Double Door Non Inverter
62299,Candy - CDL-25DG02 -25L - Grill Microwave Oven,CDL-25DG02,CDL-25DG02,20240318140508961yOMTPFoc,active,Home Appliances/Microwave Ovens/Candy Oven
52199,Candy - CDL-20MX01 - 20L Solo Microwave Oven,CDL-20MX01,CDL-20MX01,20240318135614489vsVCLotG,active,Home Appliances/Microwave Ovens/Candy Oven
147899,Candy - C55K7UG - 55 Inch Android Smart LED TV,Certified Android TV,C55K7UG,20240318121645065pHHQYhEB,active,Home Appliances/Televisions/Candy LED
136899,Candy - C50K7UG - 50 Inch Smart Android LED TV,Certified Android TV,C50K7UG,20240318121127486rfHreEMl,active,Home Appliances/Televisions/Candy LED
81899,Candy - C32K7G - 32 Inch Android Smart LED TV,Android TV,C32K7G,20240318115758808MmtLpiNX,active,Home Appliances/Televisions/Candy LED
98899,Candy - C40K6FG - 40 Inch Smart Android LED TV,Andoid TV,C40K6FG,20240316120915046NvPydGfV,active,Home Appliances/Televisions/Candy LED
216999,HW100-BP14929S3 - 10 kg Fully Automatic Front Load Washing Machine,Grey,HW100-BP14929S3,20240127111925845HezvfJNv,active,Home Appliances/Washing Machines/Front Load Fully Automatic
206999,HW90-BP14959S8 - 9 kg Fully Automatic Front Load Washing Machine,Grey,HW90-BP14959S8,20240127111313605LLoYBSaA,active,Home Appliances/Washing Machines/Front Load Fully Automatic
191999,4K UHD Real Tv Android Series - K6600,Grey,HW80-BP12929S3,20240127110848940oBrJxuJE,active,Home Appliances/Washing Machines/Front Load Fully Automatic
152999,HWM150-1678ES8 -  Fully Automatic Top Load Washing Machine,Black,HWM150-1678ES8,20240126153418243sDMGIPvx,active,Home Appliances/Washing Machines/Top Load Fully Automatic
114799,HWM90-826 - Fully Automatic Top Load Washing Machine,Grey,HWM90-826,20240126122827950hWfgQDWN,active,Home Appliances/Washing Machines/Top Load Fully Automatic
87999,HWM80-1269Y Fully Automatic Top Load Washing Machine,Light Grey,HWM80-1269Y,20240126122117219fcJerxbA,active,Home Appliances/Washing Machines/Top Load Fully Automatic
326999,HRF-622IBG - 22CFT - Side by Side Digital Inverter Refrigerator,Black,HRF-622IBG,20240126112045683BkefIsjp,active,Home Appliances/Refrigerators/Side by Side Refrigerator
321999,HRF-622ICG - 22CFT - Side by Side Digital Inverter Refrigerator,Chocolate,HRF-622ICG,20240126111306091YXRPdzOl,active,Home Appliances/Refrigerators/Side by Side Refrigerator
306999,HRF-622IBS - 22CFT - Side by Side Digital Inverter Refrigerator,Black,HRF-622IBS,20240126110205497YAyJfwLd,active,Home Appliances/Refrigerators/Side by Side Refrigerator
37004,Washing machine,white /10,,20240110111801036nFciCBbT,inactive,Home Appliances/
37004,,white /20,,,,
37004,,white /30,,,,
37004,,white /40,,,,
37004,,black/10,,,,
37004,,black/20,,,,
37004,,black/30,,,,
37004,,black/40,,,,
37004,,grey/10,,,,
37004,,grey/20,,,,
37004,,grey/30,,,,
37004,,grey/40,,,,
37004,,BLUE/10,,,,
37004,,BLUE/20,,,,
37004,,BLUE/30,,,,
37004,,BLUE/40,,,,
119999,HWM95-1678ES8 - 9.5kg Fully Automatic Top Load Washing Machine,Black,HWM95-1678ES8,20231227175126092zpoDLNOH,active,Home Appliances/Washing Machines/Top Load Fully Automatic
